[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] 302 GET / (68.42.71.45) 0.46ms
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (68.42.71.45) 1.02ms referer=https://instructorgmvozbye.coursera-apps.org/tree?
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://f242d8892f6f:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.30) 1.11ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 11.64ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.58ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Kernel interrupted: d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb
[NotebookApp | INFO] Starting buffering for d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb:6fc4ac954a2a4914b50bb74276c6c455
[NotebookApp | INFO] Kernel restarted: d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb) to 5.3 (client).
[NotebookApp | INFO] Restoring connection for d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb:6fc4ac954a2a4914b50bb74276c6c455
[NotebookApp | INFO] Replaying 5 buffered messages
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Your personal Jupyter Workspace lecture.ipynb
[NotebookApp | INFO] Starting buffering for d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb:6fc4ac954a2a4914b50bb74276c6c455
[NotebookApp | INFO] Kernel shutdown: d5ddacfd-6fe6-48a4-9dbc-af6f240a3efb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.21ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] New terminal with automatic name: 1
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.06ms referer=https://dpkjiaol.labs.coursera.org/terminals/1
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/terminals/1
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.08ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.17ms referer=https://dpkjiaol.labs.coursera.org/notebooks/assignments/assignment1/assignment1.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/notebooks/assignments/assignment1/assignment1.ipynb
[NotebookApp | WARNING] Notebook assignments/assignment1/assignment1.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 28009c8b-4cb8-4289-bff4-f8723c7c24d3
[NotebookApp | INFO] Saving file at /assignments/assignment1/assignment1.ipynb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 28009c8b-4cb8-4289-bff4-f8723c7c24d3) to 5.3 (client).
[NotebookApp | INFO] Starting buffering for 28009c8b-4cb8-4289-bff4-f8723c7c24d3:b741e3967a4e4e77a6162c3f78851d24
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.28ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.25ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new directory in 
[NotebookApp | INFO] Creating new notebook in /Week 1 lectures
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.00ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.84ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: dda73c4d-5203-4af6-bfde-bf5e8090ab02
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel dda73c4d-5203-4af6-bfde-bf5e8090ab02) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Untitled.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Starting buffering for dda73c4d-5203-4af6-bfde-bf5e8090ab02:365b217d501d4c229baed87ec673ca2a
[NotebookApp | INFO] 302 GET / (10.0.0.30) 0.51ms
[NotebookApp | INFO] 302 GET / (10.0.0.103) 0.51ms
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.27ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel dda73c4d-5203-4af6-bfde-bf5e8090ab02) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Starting buffering for dda73c4d-5203-4af6-bfde-bf5e8090ab02:1dd01591f7294f40810988b3b2a44b2e
[NotebookApp | INFO] 302 GET / (10.0.0.53) 0.48ms
[NotebookApp | INFO] 302 GET / (10.0.0.40) 0.46ms
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.49ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.13ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel dda73c4d-5203-4af6-bfde-bf5e8090ab02) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | INFO] Starting buffering for dda73c4d-5203-4af6-bfde-bf5e8090ab02:94375afe12464aef9192a0929b090f89
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 2 kernels
[NotebookApp | INFO] Kernel shutdown: 28009c8b-4cb8-4289-bff4-f8723c7c24d3
[NotebookApp | INFO] Kernel shutdown: dda73c4d-5203-4af6-bfde-bf5e8090ab02
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://7de29dd84854:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.98) 0.59ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 6.60ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 2.81ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[NotebookApp | WARNING] Notebook Week 1 lectures/Python functions.ipynb is not trusted
[NotebookApp | INFO] Kernel started: f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Python functions.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0) to 5.3 (client).
[NotebookApp | INFO] Starting buffering for f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0:dacde5d716b648e897a5fd036f15f648
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.39ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new notebook in /Week 1 lectures
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.37ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: 5dc58dd9-7b9c-46cc-899a-7125774e0270
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 5dc58dd9-7b9c-46cc-899a-7125774e0270) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Untitled.ipynb
[NotebookApp | INFO] Starting buffering for 5dc58dd9-7b9c-46cc-899a-7125774e0270:2a8ef265c4aa412986f7aad8b66f937c
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python Types and sequences.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.64ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Kernel shutdown: 5dc58dd9-7b9c-46cc-899a-7125774e0270
[NotebookApp | WARNING] delete /Week 1 lectures/Python Types and sequences.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.02ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.23ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20functions.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Python functions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Python functions.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Python functions.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | INFO] Starting buffering for f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0:28316815035a42188ac7cba4bc3879ec
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0) to 5.3 (client).
[NotebookApp | INFO] Restoring connection for f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0:28316815035a42188ac7cba4bc3879ec
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 1 kernel
[NotebookApp | INFO] Kernel shutdown: f6cdfaac-6d0a-4d4b-ac3c-af03d59e06a0
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://544daf5ce540:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.120) 0.57ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 5.48ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Week%201%20exrecises%20from%20lectures.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.05ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Week%201%20exrecises%20from%20lectures.ipynb
[NotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 0372a994-b53e-4018-925e-487429746dcc
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 0372a994-b53e-4018-925e-487429746dcc) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.19ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.27ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Starting buffering for 0372a994-b53e-4018-925e-487429746dcc:7b899062002b49f58b84efcf8ce46881
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 1 kernel
[NotebookApp | INFO] Kernel shutdown: 0372a994-b53e-4018-925e-487429746dcc
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://720d290b8363:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.53) 0.96ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb (1.178.250.47): No such file or directory: Week 1 lectures/Python Types and sequences.ipynb
[NotebookApp | WARNING] 404 GET /notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb (1.178.250.47) 13.05ms referer=https://www.coursera.org/
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.33ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.94ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 0 kernels
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://3e54b7fd8f10:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.98) 0.61ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb (1.178.250.47): No such file or directory: Week 1 lectures/Python Types and sequences.ipynb
[NotebookApp | WARNING] 404 GET /notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb (1.178.250.47) 11.93ms referer=https://www.coursera.org/
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.57ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb
